upper,lower,runs,sharpe_mean,maxdd_mean,cagr_mean,total_return_mean,trades_sum,fees_sum
0.502,0.498,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.502,0.496,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.502,0.494,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.502,0.492,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.502,0.49,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.502,0.488,1,5.095339898577314,1.000749903872056,-1.0,-1.0,56,4.3186290984744335
0.504,0.498,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.504,0.496,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.504,0.494,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.504,0.492,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.504,0.49,1,4.976221470975532,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.504,0.488,1,5.095339898577314,1.000749903872056,-1.0,-1.0,56,4.3186290984744335
0.506,0.498,1,4.979318152664787,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.506,0.496,1,4.979318152664787,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.506,0.494,1,4.979318152664787,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.506,0.492,1,4.979318152664787,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.506,0.49,1,4.979318152664787,1.000749903872056,-1.0,-1.0,60,4.31862909847388
0.506,0.488,1,5.098549214324059,1.000749903872056,-1.0,-1.0,56,4.3186290984744335
0.508,0.498,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.508,0.496,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.508,0.494,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.508,0.492,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.508,0.49,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.508,0.488,1,5.341150858780004,1.000749903872056,-1.0,-1.0,52,4.3186290984744335
0.51,0.498,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.51,0.496,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.51,0.494,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.51,0.492,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.51,0.49,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.51,0.488,1,5.341150858780004,1.000749903872056,-1.0,-1.0,52,4.3186290984744335
0.512,0.498,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.512,0.496,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.512,0.494,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.512,0.492,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.512,0.49,1,5.172408063884441,1.000749903872056,-1.0,-1.0,56,4.31862909847388
0.512,0.488,1,5.341150858780004,1.000749903872056,-1.0,-1.0,52,4.3186290984744335
