variant,horizon_bars,y_true,y_pred
raw,4,121313.56,121526.88
thetaBiquatBasis,4,121313.56,122036.5660311314
raw,4,121119.39,121662.17
thetaBiquatBasis,4,121119.39,122034.42649725243
raw,4,120932.05,121378.18
thetaBiquatBasis,4,120932.05,121972.70050111876
raw,4,121159.38,121280.1
thetaBiquatBasis,4,121159.38,122024.46319111777
raw,4,121279.89,121313.56
thetaBiquatBasis,4,121279.89,122019.03603850547
raw,4,121278.68,121119.39
thetaBiquatBasis,4,121278.68,122000.12846246877
raw,4,121631.54,120932.05
thetaBiquatBasis,4,121631.54,121974.02141270002
raw,4,121515.8,121159.38
thetaBiquatBasis,4,121515.8,121953.82051694425
raw,4,121754.33,121279.89
thetaBiquatBasis,4,121754.33,122001.76411800922
raw,4,121694.25,121278.68
thetaBiquatBasis,4,121694.25,121991.54039012024
raw,4,121314.73,121631.54
thetaBiquatBasis,4,121314.73,121993.3784976448
raw,4,121339.42,121515.8
thetaBiquatBasis,4,121339.42,121984.5508993107
raw,4,121334.0,121754.33
thetaBiquatBasis,4,121334.0,122024.58647194157
raw,4,121319.01,121694.25
thetaBiquatBasis,4,121319.01,122042.53831704897
raw,4,121496.33,121314.73
thetaBiquatBasis,4,121496.33,121942.03388392445
raw,4,121534.0,121339.42
thetaBiquatBasis,4,121534.0,121988.64802203179
raw,4,121449.81,121334.0
thetaBiquatBasis,4,121449.81,122003.88225279082
raw,4,121530.57,121319.01
thetaBiquatBasis,4,121530.57,121999.38271585136
raw,4,121554.55,121496.33
thetaBiquatBasis,4,121554.55,121967.94380841532
raw,4,121477.75,121534.0
thetaBiquatBasis,4,121477.75,121977.7023832289
raw,4,121544.4,121449.81
thetaBiquatBasis,4,121544.4,122017.59170713022
raw,4,121475.74,121530.57
thetaBiquatBasis,4,121475.74,122039.48408852449
raw,4,121597.21,121554.55
thetaBiquatBasis,4,121597.21,122036.38507394915
raw,4,121813.29,121477.75
thetaBiquatBasis,4,121813.29,122004.52039847795
raw,4,121975.32,121544.4
thetaBiquatBasis,4,121975.32,122019.4522232401
raw,4,122259.02,121475.74
thetaBiquatBasis,4,122259.02,122045.58594658779
raw,4,121684.2,121597.21
thetaBiquatBasis,4,121684.2,121939.00389435378
raw,4,121678.21,121813.29
thetaBiquatBasis,4,121678.21,121981.94138861797
raw,4,121215.01,121975.32
thetaBiquatBasis,4,121215.01,121979.64709039981
raw,4,121348.69,122259.02
thetaBiquatBasis,4,121348.69,121963.82758373377
raw,4,120493.17,121684.2
